"totalrent";"livingspace";"balcony";"yearconstructed";"haskitchen";"floor";"interiorqual"
920;52;"ja";1972;"ja";0;3
735;90;"nein";1972;"ja";1;2
1621;67;"ja";1972;"ja";4;3
630;71;"ja";1967;"nein";3;2
501;35;"ja";1972;"ja";3;2
1384;106;"nein";1924;"nein";0;3
1591;94;"ja";1972;"ja";4;3
583;50;"ja";1969;"nein";0;2
3066;245;"ja";1951;"nein";2;3
2119;128;"ja";1900;"ja";0;3
1230;86;"ja";1975;"nein";7;3
1514;95;"nein";1930;"ja";3;2
1084;79;"ja";1967;"nein";1;2
1782;97;"ja";1972;"nein";4;3
518;41;"nein";1963;"nein";0;2
2988;171;"ja";2012;"ja";0;3
730;68;"ja";1954;"nein";3;1
501;47;"nein";1972;"ja";1;2
779;45;"nein";1890;"ja";0;3
997;64;"ja";2013;"nein";2;3
614;78;"ja";1954;"nein";3;2
2334;145;"ja";1984;"ja";0;3
737;74;"ja";1972;"nein";4;3
1223;102;"ja";1914;"ja";3;3
774;69;"nein";1954;"nein";4;2
754;58;"ja";1907;"nein";2;2
423;23;"nein";1907;"ja";2;3
572;53;"nein";1909;"nein";2;3
1406;92;"ja";2005;"nein";3;3
580;82;"nein";1972;"nein";0;2
890;78;"ja";1929;"nein";2;2
730;53;"ja";2000;"ja";2;3
941;79;"ja";1912;"ja";4;3
903;89;"nein";1903;"nein";2;2
1103;76;"ja";2002;"ja";0;3
1011;65;"nein";1903;"nein";1;3
2039;138;"ja";2019;"nein";1;3
1149;43;"ja";1984;"ja";2;3
653;57;"nein";1935;"ja";2;2
463;22;"nein";1907;"ja";2;3
1093;53;"ja";1985;"ja";2;3
976;69;"ja";1911;"ja";0;2
815;81;"nein";1903;"nein";2;2
769;58;"nein";1938;"nein";4;2
1534;139;"ja";1910;"ja";4;3
965;61;"ja";2018;"ja";1;3
1059;62;"ja";2020;"nein";1;3
845;85;"ja";1981;"nein";0;2
584;37;"ja";1958;"ja";5;2
1374;67;"nein";1956;"ja";4;3
572;43;"ja";1970;"nein";3;3
1924;110;"ja";2019;"nein";2;3
1588;115;"ja";1905;"ja";1;3
886;84;"nein";1903;"nein";2;2
1473;120;"ja";1956;"nein";2;3
1759;71;"ja";1972;"ja";4;3
1317;119;"nein";1990;"nein";1;2
1497;83;"ja";2014;"ja";0;4
888;54;"nein";1920;"ja";4;2
1407;107;"ja";1907;"ja";1;3
701;58;"ja";1965;"nein";1;2
1714;105;"ja";1996;"ja";2;4
387;25;"nein";1993;"ja";3;2
717;62;"nein";1972;"nein";2;2
668;49;"ja";1954;"nein";0;2
1140;94;"ja";1929;"ja";4;3
741;67;"nein";1972;"nein";2;2
1108;78;"ja";2004;"ja";2;3
729;63;"ja";1954;"ja";2;3
1266;94;"ja";1929;"nein";5;3
1445;106;"ja";2009;"nein";3;3
1282;84;"ja";1972;"nein";1;3
755;68;"ja";1955;"ja";4;2
853;50;"nein";1920;"ja";4;2
1716;116;"ja";1930;"ja";0;3
1738;114;"ja";1904;"nein";4;3
2654;144;"ja";1972;"nein";11;2
996;63;"ja";1972;"ja";0;3
1317;83;"ja";2002;"ja";0;3
772;69;"ja";1970;"nein";0;3
1116;78;"nein";1972;"ja";2;3
2349;114;"ja";2016;"ja";5;3
928;71;"ja";1956;"nein";3;2
792;59;"ja";1972;"nein";4;2
723;59;"ja";1907;"nein";2;2
1048;71;"ja";1989;"ja";2;3
1447;106;"ja";1952;"nein";1;2
1038;81;"ja";1950;"ja";2;3
1441;136;"ja";1910;"ja";4;3
479;24;"nein";1972;"ja";0;2
3192;150;"ja";2014;"ja";0;4
834;67;"ja";1980;"nein";1;1
555;24;"nein";1963;"ja";5;3
1667;97;"ja";2017;"nein";1;3
1715;142;"ja";1959;"ja";0;2
1526;127;"ja";1999;"ja";3;3
2329;126;"ja";2015;"ja";0;3
2199;151;"ja";1984;"ja";0;3
996;82;"ja";1969;"nein";1;2
1132;68;"ja";2020;"nein";0;3
1048;80;"nein";1953;"nein";6;2
1768;121;"ja";2014;"ja";2;3
1895;107;"ja";2010;"nein";0;3
546;25;"ja";1972;"ja";1;2
725;44;"nein";1890;"ja";0;3
2051;128;"ja";1900;"ja";0;3
861;60;"ja";1976;"ja";3;3
1253;95;"ja";1971;"nein";1;3
1105;86;"ja";2018;"nein";6;3
1556;105;"ja";2019;"nein";1;3
1040;50;"ja";1985;"ja";2;3
1004;78;"ja";1969;"nein";1;2
1431;82;"ja";2014;"ja";0;4
1850;100;"ja";1955;"nein";5;4
1042;53;"ja";2018;"ja";6;3
1374;95;"ja";2001;"nein";3;3
1105;73;"ja";1972;"nein";3;3
838;91;"ja";1925;"nein";2;2
1498;109;"ja";1905;"ja";1;3
1433;74;"nein";2013;"nein";2;4
530;25;"nein";1972;"ja";3;3
1288;85;"ja";1972;"nein";1;3
1402;79;"ja";2011;"ja";1;3
2226;157;"ja";1984;"ja";0;3
1515;100;"nein";1930;"ja";3;2
1454;102;"ja";1936;"nein";1;2
1061;47;"ja";1900;"ja";0;4
2389;134;"ja";1900;"ja";0;3
1425;82;"ja";2011;"ja";1;3
855;52;"nein";1920;"ja";4;2
1116;81;"ja";1981;"nein";1;2
1562;83;"ja";2011;"ja";1;3
931;31;"ja";1972;"ja";4;3
1006;74;"ja";1911;"ja";0;2
758;67;"nein";1951;"nein";0;3
915;60;"ja";1960;"ja";4;4
1103;76;"ja";1950;"ja";2;3
1769;107;"ja";1996;"ja";2;4
949;87;"ja";1969;"nein";0;2
1073;79;"ja";2005;"nein";1;3
885;89;"ja";1925;"nein";2;2
883;54;"ja";2000;"ja";2;3
895;63;"nein";1972;"nein";5;2
1114;110;"ja";1949;"ja";3;2
1870;114;"ja";2017;"ja";1;4
1027;76;"ja";1981;"nein";1;2
928;74;"ja";1912;"ja";4;3
1226;64;"ja";1953;"ja";4;2
1085;71;"nein";1955;"nein";1;2
1729;136;"ja";1959;"ja";0;2
1469;136;"ja";1910;"ja";4;3
642;40;"ja";1972;"nein";6;3
481;33;"nein";1957;"nein";1;3
725;48;"ja";2012;"ja";4;3
538;60;"ja";1966;"nein";2;2
1155;92;"ja";1972;"nein";1;3
1377;88;"ja";1957;"ja";4;2
902;71;"ja";1956;"nein";3;2
2570;125;"ja";2005;"nein";0;3
956;60;"ja";2020;"nein";1;3
1379;77;"ja";2003;"nein";1;3
589;33;"nein";1963;"ja";6;3
608;34;"ja";1972;"nein";6;3
1047;84;"nein";1972;"nein";2;2
1185;74;"ja";1955;"nein";1;3
1095;77;"ja";2003;"nein";5;2
2005;100;"ja";1955;"nein";5;4
1921;94;"ja";1972;"ja";4;3
778;36;"nein";1959;"ja";2;2
938;74;"ja";1954;"nein";5;3
803;45;"ja";2018;"nein";2;3
1505;95;"ja";2016;"ja";3;3
907;84;"ja";1957;"nein";1;3
646;57;"ja";1954;"ja";2;3
1438;139;"ja";1910;"ja";4;3
924;72;"ja";1954;"nein";5;3
654;43;"ja";1956;"nein";4;2
1401;113;"ja";1952;"nein";1;2
764;64;"ja";1970;"nein";0;3
810;74;"ja";1969;"nein";6;2
1085;85;"ja";2019;"nein";1;3
822;69;"ja";1971;"nein";10;3
1787;132;"ja";1999;"ja";3;3
577;42;"ja";1955;"nein";0;2
1812;98;"ja";1955;"nein";5;4
2088;160;"ja";1984;"ja";0;3
792;49;"nein";1890;"ja";0;3
1529;130;"nein";1990;"nein";1;2
883;71;"nein";1972;"nein";2;2
868;72;"nein";1954;"nein";4;2
628;52;"nein";1960;"nein";1;3
2881;195;"ja";2012;"ja";0;3
600;52;"nein";1965;"nein";4;2
652;36;"nein";1975;"ja";1;3
595;50;"nein";1909;"nein";2;3
1805;101;"ja";1955;"nein";5;4
1176;105;"ja";1958;"nein";1;2
801;75;"ja";1965;"nein";1;2
990;81;"ja";1969;"nein";3;2
794;31;"nein";1959;"nein";4;3
1438;95;"ja";1957;"ja";4;2
1060;71;"ja";1979;"nein";2;3
779;68;"ja";1980;"nein";1;1
1714;100;"nein";2014;"nein";0;3
863;74;"ja";1973;"nein";1;3
1102;73;"ja";1955;"nein";3;3
1534;123;"ja";1956;"nein";2;3
1118;72;"ja";1975;"ja";4;3
1659;67;"ja";1972;"ja";4;3
842;55;"ja";1984;"ja";6;3
2222;121;"ja";1900;"ja";0;3
3949;189;"ja";2016;"ja";6;4
984;107;"ja";1958;"nein";1;2
694;62;"ja";1935;"nein";4;2
1763;101;"ja";2019;"nein";2;3
931;71;"ja";1972;"nein";3;3
1926;128;"ja";1986;"ja";3;3
1317;104;"nein";1924;"nein";0;3
2584;136;"ja";2008;"ja";2;3
1575;82;"ja";1936;"ja";2;3
1186;95;"ja";1971;"nein";1;3
622;46;"nein";1960;"nein";5;3
1104;59;"ja";2020;"nein";1;3
1358;96;"ja";1972;"nein";3;2
706;58;"ja";1972;"nein";0;2
1643;93;"ja";1972;"nein";6;3
1406;97;"ja";2005;"ja";3;3
1329;77;"nein";2013;"nein";2;4
803;47;"ja";2018;"ja";0;3
990;103;"ja";1949;"ja";3;2
2066;119;"nein";1972;"nein";3;3
2413;138;"ja";1900;"ja";0;3
844;70;"nein";1954;"nein";4;2
806;73;"ja";1972;"nein";4;3
568;25;"nein";1963;"ja";5;3
908;56;"ja";1984;"ja";6;3
1105;64;"ja";1960;"ja";4;4
654;46;"ja";1955;"nein";0;2
1372;154;"ja";1972;"nein";1;2
1009;103;"nein";1996;"nein";4;2
1050;59;"nein";1959;"nein";5;3
1896;107;"ja";2012;"nein";0;3
1001;72;"ja";1997;"nein";1;2
2336;95;"ja";2019;"ja";4;4
1033;78;"nein";1972;"ja";2;3
1344;82;"ja";1955;"nein";4;3
1493;89;"nein";1930;"ja";3;2
2896;167;"ja";2012;"ja";0;3
579;39;"ja";1955;"ja";1;2
749;67;"nein";1972;"nein";1;2
770;54;"nein";1950;"nein";4;2
771;68;"nein";1972;"nein";1;2
3251;258;"ja";1951;"nein";2;3
612;44;"ja";1955;"nein";0;2
1163;64;"ja";2020;"nein";1;3
659;22;"ja";2018;"ja";2;3
310;18;"nein";1950;"nein";0;1
369;25;"nein";1993;"ja";3;2
987;65;"ja";2013;"nein";2;3
1464;107;"ja";1907;"ja";1;3
1029;82;"ja";2004;"ja";2;3
1621;117;"ja";1930;"ja";0;3
1079;71;"ja";1975;"ja";4;3
991;83;"ja";2018;"nein";6;3
1498;106;"ja";1972;"nein";3;3
633;49;"ja";1983;"ja";3;2
615;25;"nein";1963;"ja";5;3
684;76;"ja";1954;"nein";3;2
1049;89;"ja";1969;"nein";0;2
1337;94;"nein";2018;"nein";2;3
514;46;"ja";1972;"ja";3;2
955;78;"ja";1969;"nein";3;2
706;61;"nein";1935;"ja";2;2
1454;106;"ja";1965;"ja";1;3
1428;99;"ja";1959;"nein";4;2
1037;71;"nein";1955;"nein";1;3
821;46;"ja";2018;"nein";2;3
684;51;"ja";1983;"ja";3;2
1832;129;"ja";1999;"ja";3;3
712;60;"ja";1956;"nein";4;2
758;51;"nein";1890;"ja";0;3
573;24;"nein";1963;"ja";5;3
532;21;"nein";1957;"ja";5;3
752;55;"ja";1899;"ja";0;3
3041;264;"ja";1951;"nein";2;3
1482;111;"nein";1904;"ja";1;2
1009;55;"ja";2019;"nein";1;4
1156;69;"ja";1975;"ja";4;3
3379;247;"ja";1951;"nein";2;3
666;60;"ja";1966;"nein";2;2
1578;106;"ja";2019;"ja";0;3
1680;99;"ja";1972;"ja";4;3
1529;89;"ja";2017;"nein";1;3
915;66;"ja";1994;"nein";2;3
1361;76;"ja";2015;"nein";0;3
955;83;"ja";1912;"ja";4;3
1563;93;"ja";1972;"nein";6;3
903;76;"ja";1997;"nein";1;2
1402;101;"ja";1972;"ja";3;3
2185;128;"ja";1900;"ja";0;3
1267;93;"ja";1929;"nein";5;3
3151;268;"ja";1951;"nein";2;3
584;34;"nein";1963;"ja";6;3
737;72;"ja";1967;"nein";3;2
745;58;"nein";1921;"nein";1;3
823;72;"nein";1954;"nein";4;2
559;25;"ja";1972;"ja";1;2
746;60;"ja";1907;"nein";2;2
952;84;"ja";1981;"nein";0;2
1069;82;"ja";1958;"ja";2;3
591;24;"ja";2018;"ja";2;3
555;38;"ja";1958;"ja";5;2
808;63;"ja";1972;"nein";4;2
1171;89;"ja";1988;"nein";5;3
1846;101;"ja";2019;"nein";2;3
617;51;"ja";1969;"nein";0;2
869;79;"ja";1962;"nein";1;2
1035;82;"nein";1972;"nein";2;2
1160;60;"ja";2020;"nein";1;3
720;69;"ja";1954;"nein";3;1
1118;79;"ja";2005;"nein";1;3
606;45;"nein";1960;"nein";5;3
1153;41;"ja";1984;"ja";2;3
1524;96;"ja";1965;"ja";1;3
1620;81;"ja";1936;"ja";2;3
891;70;"ja";1972;"nein";3;2
632;51;"ja";1959;"nein";4;2
573;31;"nein";1961;"ja";1;2
701;57;"ja";1972;"nein";0;2
1046;89;"ja";1984;"nein";1;2
1023;72;"ja";1966;"nein";0;2
1737;96;"nein";2015;"ja";0;3
1364;90;"nein";2018;"nein";2;3
1361;108;"ja";1905;"ja";1;3
1125;82;"ja";1981;"nein";1;2
1189;77;"ja";2005;"nein";1;3
940;74;"nein";1953;"nein";6;2
723;31;"nein";1959;"nein";4;3
527;24;"nein";1960;"nein";1;3
617;48;"ja";1954;"nein";2;2
1046;52;"ja";2019;"nein";1;4
924;65;"ja";1915;"nein";2;2
1634;98;"ja";2016;"ja";3;3
1540;80;"ja";1936;"ja";2;3
1004;73;"ja";1972;"nein";3;2
1069;68;"ja";2019;"nein";5;3
1760;117;"ja";2014;"ja";2;3
546;26;"nein";1960;"nein";1;3
1041;63;"ja";2017;"ja";4;3
1039;51;"ja";1900;"ja";0;4
499;27;"nein";1960;"nein";1;3
535;36;"ja";1972;"nein";6;3
838;73;"ja";1955;"ja";4;2
1455;106;"ja";1957;"ja";3;2
1191;64;"ja";1953;"ja";4;2
635;48;"nein";1960;"nein";1;3
1757;116;"ja";2016;"nein";4;3
823;60;"nein";1951;"nein";0;3
1229;48;"nein";2018;"ja";0;3
1117;69;"ja";1975;"ja";4;3
790;65;"nein";1972;"nein";5;2
688;53;"nein";1968;"nein";2;2
1257;83;"ja";2012;"nein";0;3
632;57;"nein";1909;"nein";2;3
1319;75;"ja";1955;"nein";1;3
1644;84;"ja";2017;"nein";1;3
1368;96;"ja";1910;"nein";2;3
1617;106;"ja";2009;"nein";3;3
515;25;"nein";1960;"nein";1;3
625;58;"ja";1972;"ja";1;2
1828;113;"ja";2009;"nein";0;3
852;66;"ja";1972;"nein";4;2
581;35;"ja";1958;"ja";5;2
779;64;"nein";1972;"nein";5;2
816;70;"ja";1972;"nein";3;2
2313;151;"ja";2010;"ja";4;3
1359;76;"ja";2020;"nein";5;3
1042;68;"ja";1994;"nein";2;3
984;85;"ja";1969;"nein";0;2
1792;93;"ja";1972;"ja";4;3
1159;76;"ja";1900;"nein";2;3
1236;103;"ja";1914;"ja";3;3
1914;104;"ja";2019;"nein";2;3
691;58;"ja";1972;"nein";0;2
1137;71;"ja";2019;"ja";2;4
836;75;"nein";1954;"nein";4;2
849;65;"ja";1999;"nein";5;3
1639;92;"ja";1972;"nein";4;3
1054;97;"ja";1981;"nein";4;2
1553;109;"ja";2009;"nein";0;3
996;52;"ja";1900;"ja";0;4
437;43;"ja";1958;"nein";3;2
1082;74;"ja";1955;"nein";3;3
993;64;"ja";2013;"nein";2;3
563;51;"nein";1960;"nein";1;3
714;68;"ja";1980;"nein";1;1
523;37;"nein";1963;"ja";6;3
584;45;"ja";1972;"ja";3;2
981;82;"nein";1953;"nein";6;2
652;50;"ja";1954;"nein";0;2
1778;137;"ja";1959;"ja";0;2
1085;78;"nein";1972;"ja";2;3
999;65;"nein";1903;"nein";1;3
1014;99;"ja";1981;"nein";4;2
1023;60;"ja";1960;"ja";4;4
1096;59;"ja";2018;"ja";1;3
1078;78;"nein";1972;"ja";2;3
779;26;"nein";2020;"ja";0;3
735;37;"nein";1959;"ja";2;2
1344;76;"ja";1955;"nein";1;3
1550;131;"ja";1980;"ja";0;2
1581;82;"ja";1936;"ja";2;3
1567;148;"ja";1972;"nein";1;2
1395;97;"ja";1965;"nein";2;3
693;68;"nein";1972;"nein";2;2
1491;79;"ja";1936;"ja";2;3
3093;247;"ja";1951;"nein";2;3
865;89;"nein";1903;"nein";2;2
511;40;"nein";1963;"nein";0;2
1310;96;"nein";1930;"ja";3;2
488;36;"nein";1991;"ja";3;2
778;73;"ja";1969;"nein";6;2
760;51;"ja";1999;"ja";3;3
1136;84;"ja";2005;"nein";1;3
1575;99;"ja";2016;"ja";3;3
815;32;"nein";1959;"nein";4;3
894;70;"ja";1969;"nein";6;2
1112;90;"ja";1985;"ja";1;2
1213;87;"ja";2013;"nein";1;3
1583;113;"ja";1904;"nein";4;3
767;28;"nein";1959;"nein";4;3
1336;76;"nein";2013;"nein";2;4
1169;85;"ja";1975;"nein";7;3
1267;81;"ja";1972;"nein";2;3
546;43;"nein";1983;"nein";1;2
1084;72;"nein";1936;"ja";3;2
1073;59;"ja";1972;"ja";0;3
1558;131;"ja";1980;"ja";0;2
795;68;"nein";1954;"nein";4;2
543;34;"ja";1972;"ja";3;2
1117;71;"ja";1900;"nein";2;3
1025;57;"ja";1985;"ja";2;3
1847;61;"ja";2017;"ja";2;3
1308;57;"ja";1950;"ja";1;3
1003;57;"nein";1972;"nein";2;3
1293;127;"nein";1972;"nein";4;2
641;39;"ja";1956;"nein";4;2
567;26;"ja";1972;"ja";1;2
569;35;"ja";1972;"ja";3;2
1100;63;"ja";2016;"ja";1;4
824;56;"ja";1984;"ja";6;3
1712;90;"ja";2019;"nein";2;3
1029;75;"ja";1966;"nein";0;2
1761;88;"ja";1972;"nein";4;3
938;79;"ja";1995;"ja";3;3
1414;96;"ja";1957;"ja";4;2
1029;68;"nein";1972;"nein";2;2
898;57;"ja";1972;"nein";4;2
724;50;"nein";1968;"nein";2;2
1529;88;"ja";1972;"nein";4;3
1179;56;"ja";1950;"ja";1;3
1463;122;"ja";1980;"ja";0;2
1201;97;"ja";1914;"ja";3;3
1416;99;"ja";1965;"ja";1;3
1017;65;"ja";1994;"nein";2;3
688;48;"ja";1972;"ja";2;3
1743;112;"ja";2019;"nein";2;3
1013;71;"ja";2000;"ja";3;3
1334;93;"ja";1929;"nein";5;3
1014;72;"ja";1994;"nein";2;3
890;75;"ja";1902;"ja";0;2
2213;101;"ja";2019;"ja";4;4
814;86;"nein";1972;"ja";1;2
605;41;"ja";1955;"ja";1;2
1871;103;"ja";2012;"nein";0;3
883;78;"ja";1954;"nein";3;2
967;61;"ja";2013;"nein";2;3
1059;76;"ja";1989;"ja";2;3
528;42;"nein";1938;"ja";3;2
915;73;"ja";1954;"nein";5;3
1462;97;"ja";1965;"nein";2;3
1730;99;"ja";1907;"ja";1;3
1476;105;"ja";1952;"nein";1;2
1083;68;"nein";1972;"ja";1;3
999;71;"nein";1955;"nein";1;2
1112;71;"ja";1972;"nein";3;3
1523;69;"ja";1972;"ja";0;2
645;57;"ja";1954;"ja";2;3
1361;144;"ja";1910;"ja";4;3
623;56;"nein";1960;"nein";2;2
794;55;"ja";1907;"nein";2;2
721;73;"ja";1954;"nein";3;2
1407;95;"nein";1930;"ja";3;2
1723;128;"ja";1959;"ja";0;2
737;61;"ja";1954;"ja";2;3
1128;69;"nein";1955;"nein";1;3
1227;43;"ja";1984;"ja";2;3
1707;96;"nein";2014;"nein";0;3
760;78;"ja";1972;"nein";4;3
1241;87;"ja";1972;"nein";1;3
802;62;"ja";1954;"ja";2;3
1206;78;"ja";1975;"nein";7;3
933;52;"nein";1920;"ja";4;2
534;35;"nein";1991;"ja";3;2
698;52;"ja";2000;"ja";2;3
1598;102;"ja";1972;"nein";3;3
1900;127;"ja";1900;"ja";0;3
1667;90;"ja";1972;"nein";6;3
1840;120;"ja";2016;"nein";4;3
1374;70;"ja";1961;"ja";7;3
703;53;"nein";1919;"ja";3;2
951;87;"ja";1981;"nein";0;2
1270;83;"ja";1972;"nein";2;3
539;40;"ja";1955;"ja";1;2
920;56;"ja";2018;"ja";6;3
607;50;"ja";1969;"nein";0;2
840;73;"ja";1978;"nein";1;3
1398;117;"ja";1904;"nein";4;3
332;17;"nein";1950;"nein";0;1
1495;95;"nein";1930;"ja";3;2
1464;104;"nein";1904;"ja";1;2
743;65;"ja";1935;"nein";4;2
1226;85;"ja";1936;"nein";3;3
809;65;"nein";1951;"nein";0;3
722;49;"nein";1919;"ja";3;2
848;77;"ja";1956;"nein";1;2
958;57;"nein";1972;"nein";2;3
546;33;"nein";1957;"nein";1;3
920;59;"nein";1959;"nein";5;3
1337;100;"ja";1972;"nein";1;3
1224;93;"ja";1988;"nein";5;3
1560;123;"ja";1986;"ja";3;3
1411;84;"ja";2014;"ja";0;4
796;60;"ja";1972;"nein";4;2
1395;85;"ja";2001;"nein";3;3
1830;64;"ja";2017;"ja";2;3
813;45;"ja";1999;"ja";3;3
585;54;"ja";1972;"ja";1;2
607;41;"ja";1956;"nein";4;2
911;67;"ja";1960;"nein";4;3
2486;153;"ja";2010;"ja";4;3
2017;152;"ja";1972;"ja";3;3
651;32;"nein";1975;"ja";1;3
993;78;"ja";1929;"nein";2;2
855;37;"ja";1972;"ja";3;4
