"Item_Number","Set_Name","Price","Pieces","Theme","Size"
"75945","Expecto Patronum",19.99,121,"Harry Potter","Small"
"76147","Vulture's Trucker Robbery",19.99,93,"Marvel","Small"
"76123","Captain America: Outriders Attack",19.99,167,"Marvel","Small"
"70672","Cole's Dirt Bike",19.99,212,"NINJAGO","Small"
"75965","The Rise of Voldemort",19.99,184,"Harry Potter","Small"
"41361","Mia's Foal Stable",19.99,118,"Friends","Small"
"70427","Welcome to the Hidden Side",19.99,189,"Hidden Side","Small"
"21140","The Chicken Coop",19.99,198,"Minecraft","Small"
"21151","The End Battle",19.99,222,"Minecraft","Small"
"60252","Construction Bulldozer",19.99,126,"City","Small"
"76142","Avengers Speeder Bike Attack",19.99,226,"Marvel","Small"
"10859","My First Ladybird",4.99,6,"DUPLO","Large"
"10886","My First Car Creations",19.99,34,"DUPLO","Large"
"60222","Snow Groomer",19.99,197,"City","Small"
"41165","Anna's Canoe Expedition",19.99,108,"LEGO Frozen 2","Small"
"60221","Diving Yacht",19.99,148,"City","Small"
"70823","Emmet's Thricycle!",14.99,174,"THE LEGO MOVIE 2","Small"
"60220","Garbage Truck",19.99,90,"City","Small"
"43175","Anna and Elsa's Storybook Adventures",19.99,133,"LEGO Frozen 2","Small"
"43176","Ariel's Storybook Adventures",19.99,105,"Disney","Small"
"43177","Belle's Storybook Adventures",19.99,111,"Disney","Small"
"41600","Aquaman",9.99,135,"BrickHeadz","Small"
"60171","Mountain Fugitives",9.99,88,"City","Small"
"41158","Jasmine's Petite Tower",9.99,49,"Disney","Small"
"41251","Poppy's Pod",19.99,103,"Trolls World Tour","Small"
"41250","Techno Reef Dance Party",19.99,173,"Trolls World Tour","Small"
"21141","The Zombie Cave",19.99,241,"Minecraft","Small"
"41409","Emma's Play Cube - Toy Store",9.99,49,"Friends","Small"
"41354","Andrea's Heart Box",7.99,84,"Friends","Small"
"60178","Speed Record Car",9.99,78,"City","Small"
"70428","Jack's Beach Buggy",19.99,170,"Hidden Side","Small"
"21153","The Wool Farm",19.99,260,"Minecraft","Small"
"75269","Duel on Mustafar",19.99,208,"Star Wars","Small"
"70826","Rex's Rex-treme Offroader!",29.99,236,"THE LEGO MOVIE 2","Small"
"31103","Rocket Truck",19.99,198,"Creator 3-in-1","Small"
"75207","Imperial Patrol Battle Pack",14.99,99,"Star Wars","Small"
"21158","The Panda Nursery",19.99,204,"Minecraft","Small"
"42091","Police Pursuit",19.99,120,"Technic","Small"
"71373","Builder Mario Power-Up Pack",9.99,10,"LEGO Super Mario","Small"
"70847","Good Morning Sparkle Babies!",9.99,50,"THE LEGO MOVIE 2","Small"
"75549","Unstoppable Bike Chase",19.99,136,"Minions","Small"
"60253","Ice-Cream Truck",19.99,200,"City","Small"
"41355","Emma's Heart Box",7.99,85,"Friends","Small"
"41151","Mulan's Training Day",14.99,104,"Disney","Small"
"10920","Elsa and Olaf's Tea Party",19.99,17,"DUPLO","Large"
"41402","Olivia's Play Cube - Researcher",9.99,40,"Friends","Small"
"41403","Mia's Play Cube - Veterinarian",9.99,40,"Friends","Small"
"41404","Emma's Play Cube - Photographer",9.99,36,"Friends","Small"
"11002","Basic Brick Set",19.99,300,"Classic","Small"
"31090","Underwater Robot",19.99,207,"Creator 3-in-1","Small"
"31089","Sunset Track Racer",19.99,221,"Creator 3-in-1","Small"
"41390","Andrea's Car & Stage",19.99,240,"Friends","Small"
"10909","Heart Box",19.99,80,"DUPLO","Large"
"10910","Submarine Adventure",19.99,24,"DUPLO","Large"
"10901","Fire Truck",19.99,21,"DUPLO","Large"
"10873","Minnie's Birthday Party",19.99,21,"Disney","Small"
"10882","Train Tracks",19.99,23,"DUPLO","Large"
"70661","Spinjitzu Zane",9.99,109,"NINJAGO","Small"
"41397","Juice Truck",19.99,103,"Friends","Small"
"71701","Kai's Fire Dragon",19.99,81,"NINJAGO","Small"
"60267","Safari Off-Roader",19.99,168,"City","Small"
"41391","Heartlake City Hair Salon",19.99,235,"Friends","Small"
"75265","T-16 Skyhopper vs Bantha Microfighters",19.99,198,"Star Wars","Small"
"71707","Kai's Mech Jet",19.99,217,"NINJAGO","Small"
"60205","Tracks",19.99,20,"City","Small"
"75223","Naboo Starfighter Microfighter",9.99,62,"Star Wars","Small"
"70683","Spinjitzu Slam - Zane",9.99,63,"NINJAGO","Small"
"41401","Stephanie's Play Cube - Baker",9.99,44,"Friends","Small"
"41358","Mia's Heart Box",7.99,83,"Friends","Small"
"41407","Olivia's Play Cube - Sweet Shop",9.99,47,"Friends","Small"
"60218","Desert Rally Racer",9.99,75,"City","Small"
"42104","Race Truck",19.99,227,"Technic","Small"
"42084","Hook Loader",14.99,176,"Technic","Small"
"41400","Andrea's Play Cube - Singer",9.99,49,"Friends","Small"
"41163","Rapunzel's Small Tower",9.99,44,"Disney","Small"
"41363","Mia's Forest Adventures",14.99,134,"Friends","Small"
"76896","Nissan GT-R NISMO",19.99,298,"Speed Champions","Small"
"41601","Cyborg",9.99,108,"BrickHeadz","Small"
"70637","Cole - Spinjitzu Master",9.99,73,"NINJAGO","Small"
"70648","Zane - Dragon Master",14.99,92,"NINJAGO","Small"
"31072","Extreme Engines",9.99,109,"Creator 3-in-1","Small"
"76090","Mighty Micros: Star-Lord vs. Nebula",9.99,86,"Marvel","Small"
"10885","My First Fun Puzzle",19.99,15,"DUPLO","Large"
"31102","Fire Dragon",19.99,234,"Creator 3-in-1","Small"
"70636","Zane - Spinjitzu Master",9.99,69,"NINJAGO","Small"
"41405","Andrea's Play Cube - Pet Shop",9.99,40,"Friends","Small"
"41287","Bubbles Playground Showdown",19.99,144,"Powerpuff Girls","Small"
"70841","Benny's Space Squad",9.99,68,"THE LEGO MOVIE 2","Small"
"31071","Drone Explorer",9.99,109,"Creator 3-in-1","Small"
"70671","Lloyd's Journey",14.99,81,"NINJAGO","Small"
"41383","Olivia's Hamster Playground",9.99,81,"Friends","Small"
"41907","Desk Organiser",19.99,405,"DOTS","Small"
"41617","Elsa",9.99,130,"BrickHeadz","Small"
"75268","Snowspeeder",19.99,91,"Star Wars","Small"
"75966","Hogwarts Room of Requirement",19.99,193,"Harry Potter","Small"
"75939","Dr. Wu's Lab: Baby Dinosaurs Breakout",19.99,164,"Jurassic World","Small"
"41426","Heartlake City Park Café",19.99,224,"Friends","Small"
"76148","Spider-Man vs. Doc Ock",19.99,234,"Marvel","Small"
"76895","Ferrari F8 Tributo",19.99,275,"Speed Champions","Small"
"76897","1985 Audi Sport Quattro S1",19.99,250,"Speed Champions","Small"
"11008","Bricks and Houses",19.99,270,"Classic","Small"
"75317","The Mandalorian & The Child",19.99,295,"Star Wars","Small"
"71363","Desert Pokey",19.99,180,"LEGO Super Mario","Small"
"70821","Emmet and Benny's 'Build and Fix' Workshop!",19.99,117,"THE LEGO MOVIE 2","Small"
"41915","Jewellery Box",19.99,374,"DOTS","Small"
"41906","Pineapple Pencil Holder",19.99,351,"DOTS","Small"
"10767","Duke Caboom's Stunt Show",19.99,120,"Disney","Small"
"70644","Golden Dragon Master",14.99,92,"NINJAGO","Small"
"70433","J.B.'s Submarine",19.99,224,"Hidden Side","Small"
"70836","Battle-Ready Batman and MetalBeard",19.99,168,"Batman","Small"
"41421","Baby Elephant Jungle Rescue",19.99,203,"Friends","Small"
"42103","Dragster",19.99,225,"Technic","Small"
"75976","Wrecking Ball",19.99,227,"Overwatch","Small"
"42090","Getaway Truck",19.99,128,"Technic","Small"
"71364","Whomp's Lava Trouble",19.99,133,"LEGO Super Mario","Small"
"70647","Kai - Dragon Master",14.99,92,"NINJAGO","Small"
"41602","Rey",9.99,119,"Star Wars","Small"
"76137","Batman vs. The Riddler Robbery",9.99,59,"Batman","Small"
"10403","World Fun",19.99,295,"Classic","Small"
"10904","Baby Animals",9.99,9,"DUPLO","Large"
"60185","Mining Power Splitter",19.99,127,"City","Small"
"10768","Buzz and Bo Peep's Playground Adventure",24.99,139,"Disney","Small"
"75970","Tracer vs. Widowmaker",14.99,129,"Overwatch","Small"
"70684","Spinjitzu Slam - Kai vs. Samurai",19.99,164,"NINJAGO","Small"
"76101","Outrider Dropship Attack",14.99,124,"Marvel","Small"
"75535","Han Solo",24.99,101,"Star Wars","Small"
"31091","Shuttle Transporter",24.99,341,"Creator 3-in-1","Small"
"10915","Alphabet Truck",24.99,36,"DUPLO","Large"
"10872","Train Bridge and Tracks",24.99,26,"DUPLO","Large"
"60184","Mining Team",9.99,82,"City","Small"
"41155","Elsa's Market Adventure",19.99,125,"Disney","Small"
"60207","Drone Chase",29.99,192,"City","Small"
"70646","Jay - Dragon Master",14.99,92,"NINJAGO","Small"
"10871","Airport",24.99,29,"DUPLO","Large"
"21149","Minecraft Alex BigFig with Chicken",14.99,160,"Minecraft","Small"
"42088","Cherry Picker",9.99,155,"Technic","Small"
"76128","Molten Man Battle",29.99,294,"Spider-Man","Small"
"76133","Spider-Man Car Chase",9.99,52,"Marvel","Small"
"70418","J.B.'s Ghost Lab",19.99,174,"Hidden Side","Small"
"75239","Hoth Generator Attack",29.99,235,"Star Wars","Small"
"41603","Kylo Ren",9.99,130,"Star Wars","Small"
"60240","Kayak Adventure",9.99,84,"City","Small"
"10908","Plane",9.99,12,"DUPLO","Large"
"60177","Airshow Jet",9.99,87,"City","Small"
"75224","Sith Infiltrator Microfighter",9.99,92,"Star Wars","Small"
"41606","Star-Lord",9.99,113,"BrickHeadz","Small"
"60213","Dock Side Fire",19.99,97,"City","Small"
"70420","Graveyard Mystery",29.99,335,"Hidden Side","Small"
"60248","Fire Helicopter Response",29.99,93,"City","Small"
"75946","Hungarian Horntail Triwizard Challenge",29.99,265,"Harry Potter","Small"
"41166","Elsa and the Reindeer Carriage",29.99,116,"LEGO Frozen 2","Small"
"60256","Racing Cars",29.99,190,"City","Small"
"70827","Ultrakatty & Warrior Lucy!",29.99,348,"THE LEGO MOVIE 2","Small"
"41253","Lonesome Flats Raft Adventure",29.99,159,"Trolls World Tour","Small"
"43178","Cinderella's Castle Celebration",29.99,168,"Disney","Small"
"70419","Wrecked Shrimp Boat",29.99,310,"Hidden Side","Small"
"71709","Jay and Lloyd's Velocity Racers",29.99,322,"NINJAGO","Small"
"41337","Underwater Loop",29.99,389,"Friends","Small"
"60231","Fire Chief Response Truck",29.99,201,"City","Small"
"11004","Windows of Creativity",29.99,450,"Classic","Small"
"60225","Rover Testing Drive",29.99,202,"City","Small"
"70673","Shuricopter",29.99,361,"NINJAGO","Small"
"21154","The Blaze Bridge",29.99,372,"Minecraft","Small"
"75893","2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T",29.99,478,"Speed Champions","Small"
"75971","Hanzo vs. Genji",19.99,197,"Overwatch","Small"
"75248","Resistance A-wing Starfighter",29.99,269,"Star Wars","Small"
"10749","Mia's Organic Food Market",19.99,115,"Friends","Small"
"41252","Poppy's Air Balloon Adventure",29.99,250,"Trolls World Tour","Small"
"41913","Bracelet Mega Pack",24.99,300,"DOTS","Small"
"75194","First Order TIE Fighter Microfighter",9.99,91,"Star Wars","Small"
"70634","Nya - Spinjitzu Master",9.99,69,"NINJAGO","Small"
"10756","Pteranodon Escape",19.99,84,"Juniors","Small"
"21159","The Pillager Outpost",29.99,303,"Minecraft","Small"
"76149","The Menace of Mysterio",29.99,163,"Marvel","Small"
"21150","Minecraft Skeleton BigFig with Magma Cube",14.99,142,"Minecraft","Small"
"60180","Monster Truck",19.99,192,"City","Small"
"10913","Brick Box",29.99,65,"DUPLO","Large"
"60242","Police Highway Arrest",29.99,185,"City","Small"
"10863","My First Animal Brick Box",29.99,34,"DUPLO","Large"
"10921","Super Heroes Lab",29.99,30,"DUPLO","Large"
"71708","Gamer's Market",29.99,218,"NINJAGO","Small"
"41392","Nature Glamping",29.99,241,"Friends","Small"
"71713","Empire Dragon",29.99,286,"NINJAGO","Small"
"41366","Olivia's Cupcake Cafe",29.99,335,"Friends","Small"
"60254","Race Boat Transporter",29.99,238,"City","Small"
"60176","Wild River Escape",19.99,126,"City","Small"
"41348","Service & Care Truck",19.99,247,"Friends","Small"
"76124","War Machine Buster",34.99,362,"Marvel","Small"
"70421","El Fuego's Stunt Truck",39.99,428,"Hidden Side","Small"
"75214","Anakin's Jedi Starfighter",19.99,247,"Star Wars","Small"
"70666","The Golden Dragon",19.99,171,"NINJAGO","Small"
"75198","Tatooine Battle Pack",14.99,97,"Star Wars","Small"
"75270","Obi-Wan's Hut",29.99,200,"Star Wars","Small"
"31073","Mythical Creatures",14.99,223,"Creator 3-in-1","Small"
"41359","Heart Box Friendship Pack",19.99,199,"Friends","Small"
"10769","RV Vacation",34.99,178,"Disney","Small"
"76091","Mighty Micros: Thor vs. Loki",9.99,79,"Marvel","Small"
"75236","Duel on Starkiller Base",19.99,191,"Star Wars","Small"
"41328","Stephanie's Bedroom",9.99,95,"Friends","Small"
"31094","Race Plane",29.99,333,"Creator 3-in-1","Small"
"75238","Action Battle Endor Assault",29.99,193,"Star Wars","Small"
"75195","Ski Speeder vs. First Order Walker Microfighters",19.99,216,"Star Wars","Small"
"75258","Anakin's Podracer  20th Anniversary Edition",29.99,279,"Star Wars","Small"
"70660","Spinjitzu Jay",9.99,97,"NINJAGO","Small"
"70662","Spinjitzu Cole",9.99,117,"NINJAGO","Small"
"75934","Dilophosaurus on the Loose",19.99,168,"Jurassic World","Small"
"21148","Minecraft Steve BigFig with Parrot",14.99,159,"Minecraft","Small"
"75271","Luke Skywalker's Landspeeder",29.99,236,"Star Wars","Small"
"70635","Jay - Spinjitzu Master",9.99,68,"NINJAGO","Small"
"70663","Spinjitzu Nya & Wu",19.99,227,"NINJAGO","Small"
"75950","Aragog's Lair",14.99,157,"Harry Potter","Small"
"75281","Anakin's Jedi Interceptor",29.99,248,"Star Wars","Small"
"75196","A-Wing vs. TIE Silencer Microfighters",19.99,188,"Star Wars","Small"
"75942","Velociraptor: Biplane Rescue Mission",29.99,101,"Jurassic World","Small"
"75967","Forbidden Forest: Umbridge's Encounter",29.99,253,"Harry Potter","Small"
"76150","Spiderjet vs. Venom Mech",29.99,371,"Marvel","Small"
"70429","El Fuego's Stunt Plane",29.99,295,"Hidden Side","Small"
"70430","Newbury Subway",29.99,348,"Hidden Side","Small"
"41427","Emma's Fashion Shop",29.99,343,"Friends","Small"
"41422","Panda Jungle Tree House",29.99,265,"Friends","Small"
"76898","Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY",29.99,565,"Speed Champions","Small"
"71365","Piranha Plant Power Slide",29.99,217,"LEGO Super Mario","Small"
"42073","BASH!",19.99,139,"Technic","Small"
"10928","Bakery",34.99,46,"DUPLO","Large"
"10902","Police Station",29.99,38,"DUPLO","Large"
"70633","Kai - Spinjitzu Master",9.99,61,"NINJAGO","Small"
"75197","First Order Specialists Battle Pack",14.99,108,"Star Wars","Small"
"75235","X-wing Starfighter Trench Run",29.99,132,"Star Wars","Small"
"70434","Supernatural Race Car",29.99,244,"Hidden Side","Small"
"71366","Boomer Bill Barrage",29.99,132,"LEGO Super Mario","Small"
"70659","Spinjitzu Kai",9.99,97,"NINJAGO","Small"
"10765","Ariel's Underwater Concert",14.99,92,"Juniors","Small"
"10895","Emmet and Lucy's Visitors from the DUPLO Planet",29.99,53,"THE LEGO MOVIE 2","Small"
"75885","Ford Fiesta M-Sport WRC",14.99,203,"Speed Champions","Small"
"60170","Off-Road Chase",6.99,37,"City","Small"
"70825","Queen Watevra's Build Whatever Box!",39.99,455,"THE LEGO MOVIE 2","Small"
"41376","Turtles Rescue Mission",19.99,225,"Friends","Small"
"60208","Parachute Arrest",39.99,218,"City","Small"
"60235","City Advent Calendar",29.99,234,"City","Small"
"75926","Pteranodon Chase",19.99,126,"Jurassic World","Small"
"41378","Dolphins Rescue Mission",39.99,363,"Friends","Small"
"76113","Spider-Man Bike Rescue",19.99,235,"Marvel","Small"
"60234","People Pack - Fun Fair",39.99,183,"City","Small"
"41168","Elsa's Jewellery Box",39.99,300,"LEGO Frozen 2","Small"
"71710","Ninja Tuner Car",39.99,419,"NINJAGO","Small"
"60226","Mars Research Shuttle",39.99,273,"City","Small"
"75957","The Knight Bus",39.99,403,"Harry Potter","Small"
"70674","Fire Fang",39.99,463,"NINJAGO","Small"
"10861","My First Emotions",19.99,28,"DUPLO","Large"
"76110","Batman: The Attack of the Talons",19.99,155,"Batman","Small"
"10770","Buzz & Woody's Carnival Mania!",49.99,230,"Disney","Small"
"41254","Volcano Rock City Concert",39.99,387,"Trolls World Tour","Small"
"41364","Stephanie's Buggy & Trailer",19.99,166,"Friends","Small"
"10750","Road Repair Truck",9.99,73,"Juniors","Small"
"41362","Heartlake City Supermarket",29.99,140,"Friends","Small"
"70638","Katana V11",19.99,257,"NINJAGO","Small"
"10759","Elastigirl's Rooftop Pursuit",19.99,95,"Juniors","Small"
"42092","Rescue Helicopter",39.99,325,"Technic","Small"
"10762","Belle's Story Time",14.99,87,"Juniors","Small"
"41605","Thanos",9.99,105,"BrickHeadz","Small"
"10754","Spider-Man vs. Scorpion Street Showdown",19.99,125,"Marvel","Small"
"60201","City Advent Calendar",29.99,313,"City","Small"
"41353","Friends Advent Calendar",29.99,500,"Friends","Small"
"60192","Arctic Ice Crawler",24.99,200,"City","Small"
"60214","Burger Bar Fire Rescue",39.99,327,"City","Small"
"10858","My First Puzzle Pets",9.99,18,"DUPLO","Large"
"75884","1968 Ford Mustang Fastback",14.99,183,"Speed Champions","Small"
"75225","Elite Praetorian Guard Battle Pack",14.99,109,"Star Wars","Small"
"76157","Wonder Woman vs. Cheetah",39.99,371,"DC","Small"
"70668","Jay's Storm Fighter",39.99,490,"NINJAGO","Small"
"60181","Forest Tractor",19.99,174,"City","Small"
"41371","Mia's Horse Trailer",29.99,216,"Friends","Small"
"41341","Andrea's Bedroom",9.99,85,"Friends","Small"
"10751","Mountain Police Chase",19.99,115,"Juniors","Small"
"31076","Daredevil Stunt Plane",19.99,200,"Creator 3-in-1","Small"
"31074","Rocket Rally Car",19.99,241,"Creator 3-in-1","Small"
"41454","Dr. Fox Laboratory",29.99,359,"Unikitty!","Small"
"60243","Police Helicopter Chase",39.99,212,"City","Small"
"41367","Stephanie's Obstacle Course",39.99,337,"Friends","Small"
"41393","Baking Competition",39.99,361,"Friends","Small"
"71702","Golden Mech",39.99,489,"NINJAGO","Small"
"76116","Batman Batsub and the Underwater Clash",19.99,174,"Batman","Small"
"76119","Batmobile: Pursuit of The Joker",29.99,342,"Batman","Small"
"41382","Friends Advent Calendar",29.99,330,"Friends","Small"
"41288","Mojo Jojo Strikes",29.99,228,"Powerpuff Girls","Small"
"10712","Bricks and Gears",19.99,244,"Classic","Small"
"21145","The Skull Arena",19.99,198,"Minecraft","Small"
"41327","Mia's Bedroom",9.99,86,"Friends","Small"
"75209","Han Solo's Landspeeder",29.99,345,"Star Wars","Small"
"41609","Chewbacca",9.99,149,"Star Wars","Small"
"10867","Farmers' Market",19.99,26,"DUPLO","Large"
"75226","Inferno Squad Battle Pack",14.99,118,"Star Wars","Small"
"76134","Spider-Man: Doc Ock Diamond Heist",29.99,150,"Marvel","Small"
"76111","Batman: Brother Eye Takedown",29.99,269,"Batman","Small"
"76118","Mr. Freeze Batcycle Battle",19.99,200,"Batman","Small"
"31075","Outback Adventures",19.99,225,"Creator 3-in-1","Small"
"75206","Jedi and Clone Troopers Battle Pack",14.99,102,"Star Wars","Small"
"75886","Ferrari 488 GT3 Scuderia Corsa",14.99,179,"Speed Champions","Small"
"70918","The Bat-Dune Buggy",19.99,198,"DC","Small"
"60179","Ambulance Helicopter",19.99,190,"City","Small"
"70820","LEGO Movie Maker",49.99,482,"THE LEGO MOVIE 2","Small"
"41351","Creative Tuning Shop",39.99,413,"Friends","Small"
"75972","Dorado Showdown",29.99,419,"Overwatch","Small"
"41620","Stormtrooper",9.99,124,"Star Wars","Small"
"70664","Spinjitzu Lloyd vs. Garmadon",19.99,208,"NINJAGO","Small"
"42071","Dozer Compactor",19.99,171,"Technic","Small"
"75958","Beauxbatons' Carriage: Arrival at Hogwarts",49.99,430,"Harry Potter","Small"
"75213","Star Wars Advent Calendar",39.99,307,"Star Wars","Small"
"10862","My First Celebration",14.99,41,"DUPLO","Large"
"76099","Rhino Face-Off by the Mine",19.99,229,"Marvel","Small"
"76164","Iron Man Hulkbuster versus A.I.M. Agent",39.99,456,"Marvel","Small"
"75977","Junkrat & Roadhog",49.99,380,"Overwatch","Small"
"41423","Tiger Hot Air Balloon Jungle Rescue",39.99,302,"Friends","Small"
"76143","Avengers Truck Take-down",39.99,477,"Marvel","Small"
"60264","Ocean Exploration Submarine",39.99,286,"City","Small"
"31105","Townhouse Toy Store",39.99,554,"Creator 3-in-1","Small"
"31107","Space Rover Explorer",39.99,510,"Creator 3-in-1","Small"
